v403,v519/102
v226,v403/228
v491,v403/57
v493,v226/453
v14,v226/205
v613,v14/348
v144,v226/306
v346,v493/324
v125,v14/76
v16,v403/248
v58,v14/458
v472,v58/179
v361,v125/87
v271,v58/429
v0,v613/350
v456,v226/208
v257,v271/61
v205,v257/142
v564,v472/205
v412,v144/414
v333,v257/25
v504,v346/335
v465,v519/227
v505,v564/334
v261,v333/304
v592,v14/221
v466,v592/147
v518,v361/434
v508,v564/424
v185,v493/137
v314,v205/93
v217,v16/147
v499,v346/389
v567,v564/492
v305,v205/284
v532,v493/94
v180,v532/478
v588,v144/177
v585,v333/174
v619,v205/292
v27,v585/285
v566,v333/456
v146,v261/278
v75,v532/162
v78,v146/480
v486,v180/466
v116,v564/150
v90,v486/344
v481,v305/482
v332,v481/138
v449,v564/331
v442,v332/292
v10,v465/22
v38,v592/479
v416,v519/320
v156,v449/342
v132,v361/144
v74,v261/165
v338,v333/82
v11,v132/10
v429,v146/260
v336,v305/198
v181,v38/39
v33,v567/487
v574,v567/231
v594,v449/24
v446,v333/39
v183,v14/346
v523,v74/28
v328,v58/235
v288,v416/130
v13,v185/249
v547,v125/233
v603,v314/293
v26,v205/461
v225,v594/289
v337,v574/496
v265,v271/489
v25,v446/388
v20,v180/132
v123,v338/400
v461,v519/57
v484,v493/181
v409,v90/353
v342,v519/488
v203,v456/65
v136,v261/208
v166,v205/218
v200,v449/264
v581,v456/217
v371,v412/438
v417,v58/321
v425,v136/336
v303,v125/65
v60,v567/212
v292,v185/65
v51,v446/155
v563,v136/439
v323,v481/336
v141,v305/22
v243,v336/345
v6,v58/292
v296,v563/122
v391,v328/93
v308,v417/276
v450,v338/64
v367,v0/409
v80,v619/108
v379,v391/228
v432,v379/238
v494,v257/278
v47,v519/461
v411,v26/230
v464,v261/140
v40,v567/398
v599,v10/429
v610,v523/46
v552,v594/11
v21,v200/299
v430,v26/474
v580,v14/214
v524,v288/361
v558,v566/374
v227,v532/349
v34,v564/320
v601,v456/165
v617,v200/293
v312,v80/198
v418,v361/292
v168,v200/215
v554,v552/247
v2,v552/257
v167,v603/401
v266,v567/42
v129,v484/411
v571,v47/425
v373,v508/89
v562,v563/10
v410,v13/293
v467,v16/292
v510,v203/98
v191,v226/420
v45,v532/488
v276,v558/86
v210,v271/487
v244,v305/323
v195,v417/53
v97,v562/426
v514,v484/285
v242,v217/112
v229,v467/55
v546,v225/195
v600,v562/19
v586,v185/145
v560,v10/302
v614,v465/325
v41,v191/487
v422,v60/110
v319,v472/227
v360,v491/116
v492,v391/273
v262,v472/248
v316,v10/5
v59,v136/226
v476,v510/72
v453,v610/386
v126,v205/146
v64,v6/409
v365,v371/487
v232,v338/145
v76,v546/88
v300,v476/454
v362,v484/125
v419,v116/293
v283,v195/43
v160,v464/131
v596,v600/310
v507,v166/270
v576,v60/435
v452,v203/44
v69,v586/79
v615,v601/111
v501,v261/127
v572,v60/488
v208,v346/278
v149,v456/427
v119,v362/371
v583,v97/83
v23,v149/9
v143,v58/257
v176,v615/402
v618,v283/93
v550,v11/129
v398,v16/271
v19,v464/259
v440,v149/126
v359,v494/365
v474,v203/403
v241,v41/273
v115,v510/137
v135,v21/461
v114,v466/136
v535,v136/496
v71,v160/456
v443,v40/118
v93,v452/245
v256,v432/493
v201,v403/225
v577,v125/63
v568,v481/247
v212,v472/352
v537,v265/180
v368,v453/421
v399,v429/105
v423,v160/100
v517,v499/376
v340,v563/186
v235,v517/203
v352,v13/440
v435,v292/136
v88,v467/493
v335,v13/413
v197,v203/480
v345,v47/277
v408,v596/265
v301,v461/365
v55,v76/237
v468,v600/162
v445,v119/262
v89,v167/10
v595,v577/369
v497,v603/362
v152,v615/264
v515,v417/323
v458,v430/110
v495,v560/248
v557,v337/151
v214,v132/497
v561,v571/440
v326,v440/180
v211,v0/158
v164,v89/433
v102,v126/144
v85,v550/37
v364,v571/84
v384,v425/498
v44,v214/104
v140,v336/289
v341,v466/291
v87,v566/490
v7,v212/76
v593,v552/48
v533,v568/318
v282,v599/23
v575,v211/24
v386,v116/330
v587,v575/55
v184,v261/31
v310,v386/315
v28,v585/33
v113,v600/50
v573,v20/184
v228,v577/363
v130,v228/71
v431,v442/65
v520,v242/189
v1,v359/346
v516,v126/364
v188,v89/190
v221,v336/96
v105,v399/43
v609,v399/407
v36,v410/306
v527,v520/26
v598,v537/129
v397,v136/131
v157,v197/463
v605,v562/393
v118,v614/143
v117,v205/42
v72,v229/124
v30,v126/183
v503,v592/312
v299,v126/425
v145,v217/483
v42,v40/219
v15,v442/105
v179,v2/44
v556,v410/226
v470,v359/100
v538,v271/448
v325,v476/69
v231,v23/458
v489,v431/179
v555,v568/59
v175,v499/79
v339,v214/31
v451,v561/411
v369,v58/470
v196,v468/453
v511,v335/97
v274,v69/288
v528,v316/92
v327,v243/499
v112,v384/77
v172,v64/373
v155,v520/62
v372,v34/337
v290,v152/362
v224,v547/414
v120,v340/189
v366,v411/29
v189,v30/69
v322,v419/133
v608,v322/180
v370,v524/474
v460,v467/203
v318,v538/248
v61,v44/164
v540,v105/260
v4,v271/40
v233,v557/306
v83,v276/179
v294,v180/381
v483,v613/67
v100,v210/13
v68,v562/119
v63,v225/473
v254,v567/142
v543,v310/409
v357,v87/48
v104,v64/348
v297,v618/81
v306,v587/311
v252,v160/31
v293,v369/317
v277,v588/11
v582,v306/367
v522,v367/454
v302,v568/227
v400,v325/129
v174,v594/258
v437,v333/256
v178,v314/186
v287,v325/486
v390,v535/422
v269,v323/311
v441,v58/234
v86,v519/134
v602,v445/38
v82,v60/230
v382,v386/225
v478,v0/477
v313,v47/360
v448,v242/112
v24,v316/108
v192,v23/495
v480,v227/378
v81,v408/10
v199,v352/468
v377,v155/440
v278,v78/319
v264,v318/201
v99,v192/340
v420,v15/349
v482,v36/9
v439,v4/89
v128,v224/135
v187,v431/96
v334,v546/409
v521,v322/191
v525,v564/382
v394,v293/333
v280,v458/118
v343,v432/201
v473,v497/329
v321,v99/470
v49,v514/28
v402,v437/320
v43,v241/492
v286,v318/64
v272,v82/77
v526,v313/286
v121,v484/180
v31,v19/275
v289,v394/471
v202,v573/298
v198,v361/160
v427,v418/163
v487,v71/244
v103,v602/178
v376,v440/47
v182,v412/450
v101,v168/233
v414,v453/253
v73,v40/330
v462,v232/265
v234,v201/71
v329,v567/247
v356,v345/402
v190,v566/121
v35,v489/77
v509,v484/175
v106,v119/63
v347,v47/365
v498,v575/382
v553,v495/274
v529,v63/263
v12,v126/305
v604,v510/287
v159,v342/483
v396,v254/42
v32,v334/452
v530,v61/447
v219,v228/495
v413,v2/109
v95,v197/29
v393,v462/85
v259,v208/208
v127,v398/411
v358,v44/214
v70,v571/82
v307,v440/419
v209,v35/243
v421,v118/152
v315,v495/149
v154,v55/335
v355,v36/10
v541,v598/265
v444,v595/1
v158,v448/102
v46,v174/9
v354,v74/294
v570,v183/153
v459,v303/428
v434,v93/287
v591,v408/177
v96,v442/325
v248,v326/112
v549,v586/319
v544,v203/269
v177,v70/42
v490,v575/415
v29,v301/167
v142,v461/493
v279,v546/215
v392,v262/67
v137,v329/122
v66,v297/250
v163,v599/15
v207,v63/213
v438,v7/331
v165,v189/62
v311,v20/170
v485,v208/200
v50,v549/43
v344,v45/449
v388,v605/293
v245,v393/323
v542,v561/423
